"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"As a user
    I want to register for an account
    So that I can access the application","14006","Validating the Registration Feature","","Thu Oct 23 07:28:31 UTC 2025","passed","Thu Oct 23 07:28:45 UTC 2025","","","",""
"As a user
    I want to register for an account
    So that I can access the application","14271","Validating the Registration Feature","","Thu Oct 23 07:28:17 UTC 2025","passed","Thu Oct 23 07:28:31 UTC 2025","","","",""
