"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"As a user
    I want to register for an account
    So that I can access the application","39885","Validating the Registration Feature","","Tue Oct 28 05:29:50 UTC 2025","broken","Tue Oct 28 05:30:30 UTC 2025","","","",""
"As a user
    I want to register for an account
    So that I can access the application","39039","Validating the Registration Feature","","Tue Oct 28 05:30:30 UTC 2025","broken","Tue Oct 28 05:31:09 UTC 2025","","","",""
