"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"As a user
    I want to register for an account
    So that I can access the application","40657","Validating the Registration Feature","","Tue Oct 28 05:39:55 UTC 2025","broken","Tue Oct 28 05:40:36 UTC 2025","","","",""
"As a user
    I want to register for an account
    So that I can access the application","38518","Validating the Registration Feature","","Tue Oct 28 05:40:36 UTC 2025","broken","Tue Oct 28 05:41:14 UTC 2025","","","",""
