"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"As a user
    I want to register for an account
    So that I can access the application","3752","Validating the Registration Feature","","Wed Nov 12 06:10:51 UTC 2025","broken","Wed Nov 12 06:10:55 UTC 2025","","","",""
"As a user
    I want to register for an account
    So that I can access the application","2942","Validating the Registration Feature","","Wed Nov 12 06:10:55 UTC 2025","broken","Wed Nov 12 06:10:58 UTC 2025","","","",""
