"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"As a user
    I want to register for an account
    So that I can access the application","41231","Validating the Registration Feature","","Tue Oct 28 06:00:58 UTC 2025","broken","Tue Oct 28 06:01:40 UTC 2025","","","",""
"As a user
    I want to register for an account
    So that I can access the application","38786","Validating the Registration Feature","","Tue Oct 28 06:01:40 UTC 2025","broken","Tue Oct 28 06:02:18 UTC 2025","","","",""
