"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"3","","6","Product list visibility","1","0","","0"
"2","","0","I want to add items to cart from product details page","0","0","","0"
"0","","1","Login to application","2","0","","0"
"1","","0","Product Details Page","0","0","","0"
"1","","0","Add items to cart","0","0","","0"
"3","","0","Cart should display all products user added along with their quantity and prices.","0","0","","0"
