"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","1","Login to application","2","0","","0"
"0","","0","I want to add items to cart from product details page","2","0","","0"
"0","","0","Product list visibility","10","0","","0"
"0","","0","Cart should display all products user added along with their quantity and prices.","3","0","","0"
"0","","0","Add items to cart","1","0","","0"
"0","","0","Product Details Page","1","0","","0"
