"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"As a user
    I want to register for an account
    So that I can access the application","39164","Validating the Registration Feature","","Wed Nov 12 05:48:18 UTC 2025","broken","Wed Nov 12 05:48:57 UTC 2025","","","",""
"As a user
    I want to register for an account
    So that I can access the application","40057","Validating the Registration Feature","","Wed Nov 12 05:47:38 UTC 2025","broken","Wed Nov 12 05:48:18 UTC 2025","","","",""
