"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"As a user
    I want to register for an account
    So that I can access the application","3059","Validating the Registration Feature","","Wed Nov 12 05:56:35 UTC 2025","broken","Wed Nov 12 05:56:38 UTC 2025","","","",""
"As a user
    I want to register for an account
    So that I can access the application","2971","Validating the Registration Feature","","Wed Nov 12 05:56:38 UTC 2025","broken","Wed Nov 12 05:56:41 UTC 2025","","","",""
